time,open,high,low,close,tick_volume,spread,real_volume
2020-01-26,1581.234,1590.317,1563.318,1588.804,20021,0,0
2020-02-02,1588.544,1592.017,1547.479,1570.145,14108,0,0
2020-02-09,1569.258,1584.899,1561.82,1583.991,16427,0,0
2020-02-16,1581.444,1649.102,1578.824,1643.319,10408,0,0
2020-02-23,1659.76,1689.213,1562.889,1586.023,47663,0,0
2020-03-01,1582.112,1691.979,1575.451,1674.32,29775,0,0
2020-03-08,1696.28,1703.179,1504.669,1529.245,50058,0,0
2020-03-15,1551.879,1575.37,1451.281,1498.718,71752,0,0
2020-03-22,1502.2,1641.8,1482.773,1622.911,46611,0,0
2020-03-29,1628.767,1630.463,1569.183,1615.567,28430,0,0
2020-04-05,1613.913,1689.431,1607.546,1682.944,21290,0,0
2020-04-12,1684.492,1746.579,1679.135,1683.655,19346,0,0
2020-04-19,1682.777,1738.308,1660.127,1727.93,18224,0,0
2020-04-26,1721.908,1726.275,1670.131,1700.028,17283,0,0
2020-05-03,1698.504,1722.819,1681.89,1702.329,22190,0,0
2020-05-10,1702.072,1750.93,1686.864,1741.974,14840,0,0
2020-05-17,1747.441,1764.715,1716.751,1734.06,29309,0,0
2020-05-24,1731.595,1737.277,1693.423,1729.475,12932,0,0
2020-05-31,1733.361,1744.836,1670.51,1685.512,17655,0,0
2020-06-07,1681.207,1744.536,1677.301,1730.552,18126,0,0
2020-06-14,1730.841,1745.142,1703.902,1743.537,12843,0,0
2020-06-21,1746.411,1779.247,1742.326,1771.28,16382,0,0
2020-06-28,1770.599,1789.089,1757.464,1775.703,16133,0,0
2020-07-05,1773.537,1817.833,1769.855,1798.621,10497,0,0
2020-07-12,1799.343,1814.553,1790.404,1809.765,12591,0,0
2020-07-19,1808.109,1906.4,1805.658,1901.143,11619,0,0
2020-07-26,1902.646,1982.318,1902.646,1974.958,19907,0,0
2020-08-02,1982.988,2073.682,1960.418,2034.818,21101,0,0
2020-08-09,2026.671,2049.797,1863.593,1944.376,30642,0,0
2020-08-16,1944.835,2015.39,1911.464,1940.113,33321,0,0
2020-08-23,1936.426,1976.439,1902.613,1964.591,22364,0,0
2020-08-30,1968.915,1992.297,1916.114,1933.518,16775,0,0
2020-09-06,1932.511,1966.486,1906.368,1939.938,14947,0,0
2020-09-13,1937.168,1973.421,1932.831,1950.013,13076,0,0
2020-09-20,1949.641,1955.412,1848.076,1861.155,14412,0,0
